VideoID,480p,1080p,Alt,Button,znám?,YouTubeURL,InstagramURL,FacebookURL,type,Figury,Video,Datum,notes,source,,
44,videos/74_360.mp4,videos/74.mp4,videos/75.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,,,
45,videos/76_360.mp4,videos/76.mp4,,Peťák a Renča,znám,,,,Choreo,"Rompo Delante, ",Peťák a Renča,,,,,
46,videos/77_360.mp4,videos/77.mp4,,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
47,videos/78_360.mp4,videos/78.mp4,,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
48,videos/79_360.mp4,videos/79.mp4,videos/80.mp4,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
49,videos/81_360.mp4,videos/81.mp4,videos/82.mp4,Peťák a Renča,znám,,,,Choreo,"Yo Yo, Headroll",Peťák a Renča,,,,,
50,videos/83_360.mp4,videos/83.mp4,videos/84.mp4,Peťák a Renča,znám,,,,Choreo,"Yo Yo,",Peťák a Renča,,,,,
51,videos/85_360.mp4,videos/85.mp4,videos/86.mp4,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,,,
52,videos/87_360.mp4,videos/87.mp4,videos/88.mp4,Peťák a Renča,znám,,,,Choreo,Diagonal,Peťák a Renča,,,,,
53,videos/89_360.mp4,videos/89.mp4,videos/90.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,,,
54,videos/91_360.mp4,videos/91.mp4,,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,fast 92,,,
55,videos/92_360.mp4,videos/92.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,slow 91,,,
56,videos/93_360.mp4,videos/93.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,another version of 94,,,
57,videos/94_360.mp4,videos/94.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,another version of 93,,,
58,videos/95_360.mp4,videos/95.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,,,
59,videos/97_360.mp4,videos/97.mp4,videos/96.mp4,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
60,videos/98_360.mp4,videos/98.mp4,,Peťák a Renča,znám,,,,Choreo,"Yo Yo, RSP",Peťák a Renča,,,,,
61,videos/99_360.mp4,videos/99.mp4,,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,,,
62,videos/100_360.mp4,videos/100.mp4,,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
63,videos/101_360.mp4,videos/101.mp4,videos/102.mp4,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
